taxon	rank	direction	p	q	median_case	median_control	mean_log1p_case	mean_log1p_control	prevalence_case	prevalence_control	rank_biserial	in_bugsigdb	bugsigdb_direction
pseudopedobacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.010161	0.0	0.472	-0.472	False	
howardella	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.018318	0.0	0.464	-0.464	False	
methanobrevibacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.133469	0.0	0.46	-0.46	True	decreased
phocea	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.006159	0.0	0.444	-0.444	False	
dysgonomonas	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.005324	0.0	0.44	-0.44	False	
slackia	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.021609	0.0	0.436	-0.436	True	increased
fastidiosipila	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.007734	0.0	0.432	-0.432	False	
syntrophorhabdus	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.013967	0.0	0.432	-0.432	False	
clostridiaceae bacterium djf vr09	species	decreased	0.0	0.0	0.0	0.0	0.0	0.005275	0.0	0.412	-0.412	False	
peptoclostridium	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.004464	0.0	0.4	-0.4	False	
fusobacterium	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.021683	0.0	0.384	-0.384	True	increased
prolixibacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.009564	0.0	0.38	-0.38	False	
terrisporobacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.009064	0.0	0.376	-0.376	False	
intestinibacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.008279	0.0	0.372	-0.372	False	
coprobacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.031475	0.0	0.36	-0.36	False	
alistipes	species	decreased	0.0	0.0	0.0	0.0	0.0	0.00746	0.0	0.364	-0.364	True	decreased
fusicatenibacter saccharivorans	species	decreased	0.0	0.0	0.0	0.0	0.0	0.00434	0.0	0.364	-0.364	False	
paludibacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.004779	0.0	0.356	-0.356	False	
dorea longicatena	species	decreased	0.0	0.0	0.0	0.0	0.0	0.004709	0.0	0.36	-0.36	True	increased
pseudoflavonifractor	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.003392	0.0	0.352	-0.352	False	
faecalibacterium prausnitzii	species	decreased	0.0	0.0	0.0	0.0	0.0	0.004237	0.0	0.356	-0.356	True	decreased
clostridium leptum	species	decreased	0.0	0.0	0.0	0.0	0.0	0.005974	0.0	0.352	-0.352	False	
eubacterium siraeum	species	decreased	0.0	0.0	0.0	0.0	0.0	0.009294	0.0	0.348	-0.348	False	
prevotella	species	decreased	0.0	0.0	0.0	0.0	0.0	0.003725	0.0	0.344	-0.344	True	increased
anaerofilum	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.003406	0.0	0.328	-0.328	False	
coprococcus	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.005074	0.0	0.32	-0.32	True	decreased
erysipelothrix	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.006618	0.0	0.316	-0.316	False	
solibacillus	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.005487	0.0	0.316	-0.316	False	
coprococcus catus	species	decreased	0.0	0.0	0.0	0.0	0.0	0.004657	0.0	0.316	-0.316	False	
libanicoccus	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.007563	0.0	0.312	-0.312	False	
roseburia	species	decreased	0.0	0.0	0.0	0.0	0.0	0.003251	0.0	0.308	-0.308	True	decreased
pseudomonas	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.004121	0.0	0.304	-0.304	True	decreased
victivallis	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.02382	0.0	0.304	-0.304	True	mixed
dielma	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.002805	0.0	0.3	-0.3	True	increased
pseudobutyrivibrio	species	decreased	0.0	0.0	0.0	0.0	0.0	0.002764	0.0	0.296	-0.296	False	
brachymonas	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.010747	0.0	0.292	-0.292	False	
methanosphaera	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.035146	0.0	0.292	-0.292	False	
vestibaculum	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.003186	0.0	0.292	-0.292	False	
armantifilum	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.002658	0.0	0.288	-0.288	False	
alistipes finegoldii	species	decreased	0.0	0.0	0.0	0.0	0.0	0.003123	0.0	0.284	-0.284	False	
competibacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.00349	0.0	0.28	-0.28	False	
robinsoniella	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.003719	0.0	0.28	-0.28	False	
ruminococcaceae bacterium	species	decreased	0.0	0.0	0.0	0.0	0.0	0.006179	0.0	0.268	-0.268	False	
dorea formicigenerans	species	decreased	0.0	0.0	0.0	0.0	0.0	0.002237	0.0	0.256	-0.256	True	increased
acetanaerobacterium	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.002927	0.0	0.252	-0.252	False	
gemmatirosa	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.005389	0.0	0.248	-0.248	False	
syntrophomonas	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.003184	0.0	0.248	-0.248	False	
roseburia faecis	species	decreased	0.0	0.0	0.0	0.0	0.0	0.003224	0.0	0.248	-0.248	False	
acidaminobacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.003064	0.0	0.24	-0.24	False	
blautia massiliensis	species	decreased	0.0	0.0	0.0	0.0	0.0	0.002353	0.0	0.236	-0.236	False	
acetivibrio	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.002416	0.0	0.232	-0.232	False	
lactococcus	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.003271	0.0	0.232	-0.232	False	
dietzia	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.002306	0.0	0.22	-0.22	False	
anaerofustis	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.002362	0.0	0.216	-0.216	False	
rikenella	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.002099	0.0	0.216	-0.216	False	
roseburia inulinivorans	species	decreased	0.0	0.0	0.0	0.0	0.0	0.002103	0.0	0.216	-0.216	True	decreased
acetatifactor	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.001614	0.0	0.212	-0.212	False	
oscillibacter	species	decreased	0.0	0.0	0.0	0.0	0.0	0.001507	0.0	0.208	-0.208	True	decreased
ruminococcus bromii	species	decreased	0.0	0.0	0.0	0.0	0.0	0.002922	0.0	0.208	-0.208	False	
gemella	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.002174	0.0	0.208	-0.208	False	
nocardia	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.001736	0.0	0.204	-0.204	False	
sporobacter	genus	decreased	0.0	0.0	0.0	0.0	0.0	0.002038	0.0	0.2	-0.2	True	decreased
