taxon	rank	direction	p	q	median_case	median_control	mean_log1p_case	mean_log1p_control	prevalence_case	prevalence_control	rank_biserial	in_bugsigdb	bugsigdb_direction
clostridium gasigenes	species	increased	0.0	0.0	0.000813	0.0	0.004212	0.0	0.642857	0.0	0.642857	False	
enterorhabdus	genus	decreased	0.0	0.0	0.0	0.081474	0.0	0.092383	0.0	0.944	-0.944	False	
bacillus	genus	increased	0.0	0.0	0.001933	0.0	0.005053	0.000347	0.795918	0.048	0.735918	True	increased
plesiomonas shigelloides	species	increased	0.0	0.0	0.000988	0.0	0.01063	0.0	0.632653	0.0	0.632653	False	
plesiomonas	genus	increased	0.0	0.0	0.001046	0.0	0.010697	0.0	0.632653	0.0	0.632653	False	
ruminococcus	genus	increased	0.0	0.0	1.106793	0.078037	0.804053	0.087706	1.0	0.9	0.945551	True	decreased
collinsella stercoris	species	increased	0.0	0.0	0.001234	0.0	0.009025	0.0	0.622449	0.0	0.622449	False	
roseburia faecis	species	increased	0.0	0.0	0.034086	0.0	0.074421	0.003224	0.989796	0.248	0.860408	True	decreased
trabulsiella	genus	increased	0.0	0.0	0.00101	0.0	0.006406	0.0	0.622449	0.0	0.622449	False	
barnesiella	genus	decreased	0.0	0.0	0.0	0.141818	0.000694	0.207529	0.27551	0.948	-0.931959	False	
holdemanella	genus	decreased	0.0	0.0	0.0	0.049252	0.0	0.116854	0.0	0.92	-0.92	False	
hydrogenophaga	genus	increased	0.0	0.0	0.000645	0.0	0.006102	2.8e-05	0.632653	0.004	0.627429	False	
hafnia alvei	species	increased	0.0	0.0	0.001025	0.0	0.007205	0.0	0.602041	0.0	0.602041	False	
dysgonomonas	genus	increased	0.0	0.0	0.099257	0.0	0.169433	0.005324	1.0	0.44	0.892163	False	
acidovorax	genus	increased	0.0	0.0	0.00059	0.0	0.000971	0.0	0.602041	0.0	0.602041	False	
hafnia	genus	increased	0.0	0.0	0.001025	0.0	0.007205	0.0	0.602041	0.0	0.602041	False	
hamiltonella	genus	increased	0.0	0.0	0.001408	0.0	0.006545	0.0	0.602041	0.0	0.602041	False	
mannheimia	genus	increased	0.0	0.0	0.000853	0.0	0.009019	0.0	0.602041	0.0	0.602041	False	
clostridium colinum	species	increased	0.0	0.0	0.000796	0.0	0.00179	2e-05	0.612245	0.004	0.606776	True	increased
eggerthella	genus	decreased	0.0	0.0	0.000713	0.212968	0.003636	0.210186	0.55102	0.952	-0.916816	True	increased
ruminiclostridium	genus	decreased	0.0	0.0	0.0	0.039916	0.0	0.05472	0.0	0.896	-0.896	False	
enterobacter	genus	increased	0.0	0.0	0.000745	0.0	0.0038	3.8e-05	0.622449	0.008	0.615429	False	
soleaferrea	genus	decreased	0.0	0.0	0.0	0.050953	0.0	0.059593	0.0	0.892	-0.892	False	
akkermansia	genus	decreased	0.0	0.0	0.0	0.326418	0.025353	0.442371	0.244898	0.984	-0.907102	True	increased
anaerostipes	genus	decreased	0.0	0.0	0.060478	0.585622	0.086065	0.51501	0.989796	0.984	-0.90898	False	
baumannia cicadellinicola	species	increased	0.0	0.0	0.00081	0.0	0.003924	0.0	0.581633	0.0	0.581633	False	
serratia marcescens	species	increased	0.0	0.0	0.000812	0.0	0.004681	0.0	0.581633	0.0	0.581633	False	
succinivibrio	genus	increased	0.0	0.0	0.001848	0.0	0.144808	0.00569	0.714286	0.04	0.665469	False	
baumannia	genus	increased	0.0	0.0	0.00081	0.0	0.003924	0.0	0.581633	0.0	0.581633	False	
aggregatibacter	genus	increased	0.0	0.0	0.000932	0.0	0.01187	5.8e-05	0.612245	0.008	0.601796	False	
erwinia dispersa	species	increased	0.0	0.0	0.000627	0.0	0.003146	0.0	0.571429	0.0	0.571429	False	
acetitomaculum	genus	decreased	0.0	0.0	0.0	0.031222	0.0	0.044161	0.0	0.872	-0.872	False	
